Country Name,Country Code,Series Name,Series Code,Net Migration,,,,,,,,
"Congo, Rep.",COG,Net migration,SM.POP.NETM,-6271,,,,,,,,
Colombia,COL,Net migration,SM.POP.NETM,395803,,,,,,,,
"Macao SAR, China",MAC,Net migration,SM.POP.NETM,8578,,,,,,,,
"Hong Kong SAR, China",HKG,Net migration,SM.POP.NETM,0,,,,,,,,
Comoros,COM,Net migration,SM.POP.NETM,-2917,,,,,,,,
Chile,CHL,Net migration,SM.POP.NETM,230162,,,,,,,,
Chad,TCD,Net migration,SM.POP.NETM,-9469,,,,,,,,
Central African Republic,CAF,Net migration,SM.POP.NETM,-36942,,,,,,,,
Cayman Islands,CYM,Net migration,SM.POP.NETM,973,,,,,,,,
Canada,CAN,Net migration,SM.POP.NETM,391914,,,,,,,,
Cameroon,CMR,Net migration,SM.POP.NETM,-12254,,,,,,,,
Cambodia,KHM,Net migration,SM.POP.NETM,-55607,,,,,,,,
Cabo Verde,CPV,Net migration,SM.POP.NETM,-1296,,,,,,,,
Burundi,BDI,Net migration,SM.POP.NETM,14241,,,,,,,,
Burkina Faso,BFA,Net migration,SM.POP.NETM,-25277,,,,,,,,
Bulgaria,BGR,Net migration,SM.POP.NETM,-11439,,,,,,,,
Brunei Darussalam,BRN,Net migration,SM.POP.NETM,-587,,,,,,,,
British Virgin Islands,VGB,Net migration,SM.POP.NETM,253,,,,,,,,
Brazil,BRA,Net migration,SM.POP.NETM,69186,,,,,,,,
Botswana,BWA,Net migration,SM.POP.NETM,2933,,,,,,,,
Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,-27848,,,,,,,,
Bolivia,BOL,Net migration,SM.POP.NETM,-8978,,,,,,,,
Bhutan,BTN,Net migration,SM.POP.NETM,291,,,,,,,,
Bermuda,BMU,Net migration,SM.POP.NETM,290,,,,,,,,
Benin,BEN,Net migration,SM.POP.NETM,3363,,,,,,,,
Belize,BLZ,Net migration,SM.POP.NETM,1164,,,,,,,,
Belgium,BEL,Net migration,SM.POP.NETM,54395,,,,,,,,
Belarus,BLR,Net migration,SM.POP.NETM,15082,,,,,,,,
Barbados,BRB,Net migration,SM.POP.NETM,-65,,,,,,,,
Bangladesh,BGD,Net migration,SM.POP.NETM,-344054,,,,,,,,
Bahrain,BHR,Net migration,SM.POP.NETM,-17127,,,,,,,,
"Bahamas, The",BHS,Net migration,SM.POP.NETM,1001,,,,,,,,
Azerbaijan,AZE,Net migration,SM.POP.NETM,392,,,,,,,,
Austria,AUT,Net migration,SM.POP.NETM,41105,,,,,,,,
Afghanistan,AFG,Net migration,SM.POP.NETM,-8082,,,,,,,,
Albania,ALB,Net migration,SM.POP.NETM,-8889,,,,,,,,
Algeria,DZA,Net migration,SM.POP.NETM,-36386,,,,,,,,
American Samoa,ASM,Net migration,SM.POP.NETM,-1650,,,,,,,,
Andorra,AND,Net migration,SM.POP.NETM,1238,,,,,,,,
Angola,AGO,Net migration,SM.POP.NETM,58986,,,,,,,,
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,0,,,,,,,,
Argentina,ARG,Net migration,SM.POP.NETM,4478,,,,,,,,
Armenia,ARM,Net migration,SM.POP.NETM,-25363,,,,,,,,
Aruba,ABW,Net migration,SM.POP.NETM,412,,,,,,,,
Australia,AUS,Net migration,SM.POP.NETM,235860,,,,,,,,
Channel Islands,CHI,Net migration,SM.POP.NETM,1566,,,,,,,,
China,CHN,Net migration,SM.POP.NETM,-302609,,,,,,,,
"Congo, Dem. Rep.",COD,Net migration,SM.POP.NETM,-144916,,,,,,,,
Costa Rica,CRI,Net migration,SM.POP.NETM,4154,,,,,,,,
Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,-15520,,,,,,,,
Croatia,HRV,Net migration,SM.POP.NETM,-12480,,,,,,,,
Cuba,CUB,Net migration,SM.POP.NETM,-13686,,,,,,,,
Curacao,CUW,Net migration,SM.POP.NETM,-9592,,,,,,,,
Cyprus,CYP,Net migration,SM.POP.NETM,4948,,,,,,,,
Czechia,CZE,Net migration,SM.POP.NETM,4030,,,,,,,,
Denmark,DNK,Net migration,SM.POP.NETM,23305,,,,,,,,
Djibouti,DJI,Net migration,SM.POP.NETM,1322,,,,,,,,
Dominica,DMA,Net migration,SM.POP.NETM,326,,,,,,,,
Dominican Republic,DOM,Net migration,SM.POP.NETM,-29830,,,,,,,,
Ecuador,ECU,Net migration,SM.POP.NETM,71801,,,,,,,,
"Egypt, Arab Rep.",EGY,Net migration,SM.POP.NETM,-59715,,,,,,,,
El Salvador,SLV,Net migration,SM.POP.NETM,-55143,,,,,,,,
Equatorial Guinea,GNQ,Net migration,SM.POP.NETM,14695,,,,,,,,
Eritrea,ERI,Net migration,SM.POP.NETM,-29849,,,,,,,,
Estonia,EST,Net migration,SM.POP.NETM,5410,,,,,,,,
Eswatini,SWZ,Net migration,SM.POP.NETM,-9796,,,,,,,,
Ethiopia,ETH,Net migration,SM.POP.NETM,-10803,,,,,,,,
Faroe Islands,FRO,Net migration,SM.POP.NETM,580,,,,,,,,
Fiji,FJI,Net migration,SM.POP.NETM,-11865,,,,,,,,
Finland,FIN,Net migration,SM.POP.NETM,15558,,,,,,,,
France,FRA,Net migration,SM.POP.NETM,17403,,,,,,,,
French Polynesia,PYF,Net migration,SM.POP.NETM,-861,,,,,,,,
Gabon,GAB,Net migration,SM.POP.NETM,2230,,,,,,,,
"Gambia, The",GMB,Net migration,SM.POP.NETM,-4186,,,,,,,,
Georgia,GEO,Net migration,SM.POP.NETM,-5414,,,,,,,,
Germany,DEU,Net migration,SM.POP.NETM,360560,,,,,,,,
Ghana,GHA,Net migration,SM.POP.NETM,-21860,,,,,,,,
Gibraltar,GIB,Net migration,SM.POP.NETM,-58,,,,,,,,
Greece,GRC,Net migration,SM.POP.NETM,-21581,,,,,,,,
Greenland,GRL,Net migration,SM.POP.NETM,-338,,,,,,,,
Grenada,GRD,Net migration,SM.POP.NETM,-190,,,,,,,,
Guam,GUM,Net migration,SM.POP.NETM,-1852,,,,,,,,
Guatemala,GTM,Net migration,SM.POP.NETM,-58095,,,,,,,,
Guinea,GIN,Net migration,SM.POP.NETM,-3243,,,,,,,,
Guinea-Bissau,GNB,Net migration,SM.POP.NETM,-1395,,,,,,,,
Guyana,GUY,Net migration,SM.POP.NETM,-24678,,,,,,,,
Haiti,HTI,Net migration,SM.POP.NETM,-34635,,,,,,,,
Honduras,HND,Net migration,SM.POP.NETM,-6550,,,,,,,,
Hungary,HUN,Net migration,SM.POP.NETM,33559,,,,,,,,
Iceland,ISL,Net migration,SM.POP.NETM,5152,,,,,,,,
India,IND,Net migration,SM.POP.NETM,-593495,,,,,,,,
Indonesia,IDN,Net migration,SM.POP.NETM,-40567,,,,,,,,
"Iran, Islamic Rep.",IRN,Net migration,SM.POP.NETM,-34571,,,,,,,,
Iraq,IRQ,Net migration,SM.POP.NETM,-29880,,,,,,,,
Ireland,IRL,Net migration,SM.POP.NETM,29113,,,,,,,,
Isle of Man,IMN,Net migration,SM.POP.NETM,239,,,,,,,,
Israel,ISR,Net migration,SM.POP.NETM,16132,,,,,,,,
Italy,ITA,Net migration,SM.POP.NETM,21615,,,,,,,,
Jamaica,JAM,Net migration,SM.POP.NETM,-11329,,,,,,,,
Japan,JPN,Net migration,SM.POP.NETM,183953,,,,,,,,
Jordan,JOR,Net migration,SM.POP.NETM,28963,,,,,,,,
Kazakhstan,KAZ,Net migration,SM.POP.NETM,-37080,,,,,,,,
Kenya,KEN,Net migration,SM.POP.NETM,-61946,,,,,,,,
Kiribati,KIR,Net migration,SM.POP.NETM,-691,,,,,,,,
"Korea, Dem. People's Rep.",PRK,Net migration,SM.POP.NETM,-3139,,,,,,,,
"Korea, Rep.",KOR,Net migration,SM.POP.NETM,110799,,,,,,,,
Kosovo,XKX,Net migration,SM.POP.NETM,-33469,,,,,,,,
Kuwait,KWT,Net migration,SM.POP.NETM,9088,,,,,,,,
Kyrgyz Republic,KGZ,Net migration,SM.POP.NETM,-34270,,,,,,,,
Lao PDR,LAO,Net migration,SM.POP.NETM,-10303,,,,,,,,
Latvia,LVA,Net migration,SM.POP.NETM,-7903,,,,,,,,
Lebanon,LBN,Net migration,SM.POP.NETM,-237572,,,,,,,,
Lesotho,LSO,Net migration,SM.POP.NETM,-2989,,,,,,,,
Liberia,LBR,Net migration,SM.POP.NETM,-19697,,,,,,,,
Libya,LBY,Net migration,SM.POP.NETM,-1352,,,,,,,,
Liechtenstein,LIE,Net migration,SM.POP.NETM,178,,,,,,,,
Lithuania,LTU,Net migration,SM.POP.NETM,-13398,,,,,,,,
Luxembourg,LUX,Net migration,SM.POP.NETM,10365,,,,,,,,
Madagascar,MDG,Net migration,SM.POP.NETM,-1487,,,,,,,,
Malawi,MWI,Net migration,SM.POP.NETM,-2228,,,,,,,,
Malaysia,MYS,Net migration,SM.POP.NETM,60824,,,,,,,,
Maldives,MDV,Net migration,SM.POP.NETM,6690,,,,,,,,
Mali,MLI,Net migration,SM.POP.NETM,-44428,,,,,,,,
Malta,MLT,Net migration,SM.POP.NETM,11247,,,,,,,,
Marshall Islands,MHL,Net migration,SM.POP.NETM,-1901,,,,,,,,
Mauritania,MRT,Net migration,SM.POP.NETM,-3018,,,,,,,,
Mauritius,MUS,Net migration,SM.POP.NETM,-1034,,,,,,,,
Mexico,MEX,Net migration,SM.POP.NETM,-47764,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Net migration,SM.POP.NETM,-1283,,,,,,,,
Moldova,MDA,Net migration,SM.POP.NETM,-28328,,,,,,,,
Monaco,MCO,Net migration,SM.POP.NETM,416,,,,,,,,
Mongolia,MNG,Net migration,SM.POP.NETM,10664,,,,,,,,
Montenegro,MNE,Net migration,SM.POP.NETM,-1636,,,,,,,,
Morocco,MAR,Net migration,SM.POP.NETM,-91959,,,,,,,,
Mozambique,MOZ,Net migration,SM.POP.NETM,-17639,,,,,,,,
